"TrialID","Tag.ID","Unbaited_visits_dur","Unbaited_visits_n","Baited_visits_dur","Baited_visits_n","Search_finds_visits_dur","Search_finds_visits_n","SF_visits_dur","SF_visits_n","Revisit_prod_dur","Revisits_prod_n","Join_visits_dur","Join_visits_n","Join_visits_NL_dur","Join_visits_NL_n","Join_FS_visits_dur","Join_FS_visits_n","Join_FL_visits_dur","Join_FL_visits_n","Join_BS_visits_dur","Join_BS_visits_n","Join_BL_visits_dur","Join_BL_visits_n","Join_latent_visits_dur","Join_latent_visits_n","Baited_visits_n2","Baited_visits_duration2","Join_visits_n2","Join_visits_duration2","Join_revisits_n2","Join_revisits_duration2","SF_visits_n2","SF_visits_duration2","Prim_prd_visits_n","Prim_prd_visits_duration","Secondary_visits_n","Secondary_visits_duration","Dir_scr_visits_n","Dir_scr_visits_duration","Vac_scr_visits_n","Vac_scr_visits_duration","Prim_prd_revisits_n","Prim_prd_revisits_duration","Dir_scr_revisits_n","Dir_scr_revisits_duration","Vac_scr_revisits_n","Vac_scr_revisits_duration","Time_spent_baited_wells","Total_feeds_RFID","Producing_feeds_RFID","Scrounging_feeds_RFID","SF_feeds_RFID","Producing_feeds_RFID2","Scrounging_feeds_RFID2","SF_feeds_RFID2","Activity_visits","Activity_distance","Board_time","Exploration1","Exploration2","Latency","Arrival_order","Trial_indiv_index","Avg_dist_1.2","Avg_dist_1.3","Avg_dist_2.3"
"G108_1","000724BF5E",7.38799999999173,4,0,0,0,0,0,0,0,0,0,0,15.9520000000048,2,13.3689999999988,1,3.54599999999482,5,0,0,0,0,3.61499999999796,1,0,0,0,0,0,0,3,76.1180000000022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.272000000019,28,0,0,0,0,0,16,66,1952.29025212115,199.092000000004,14,5,46.1200000000026,4,"1",54.0176736833156,44.1199479491144,28.2184520429179
"G108_1","000724CD88",2.01299999999901,1,59.2879999999932,3,19.2999999999956,1,39.9879999999976,2,0,0,190.758999999998,5,82.1049999999959,4,26.4250000000029,2,0.709999999999127,1,0,0,0,0,108.654000000002,1,3,59.2879999999932,5,190.758999999998,1,34.9380000000019,2,39.9879999999976,1,19.2999999999956,2,39.9879999999976,2,116.819000000003,0,0,1,5.04999999999563,4,157.504000000001,0,0,306.674999999996,65,12,41,8,12,48,8,25,599.325522807749,328.788000000015,6,3,49.1560000000027,5,"2",54.0176736833156,46.3710429479266,31.6563523651733
"G108_1","000724D4F1",8.56300000000192,3,23.0879999999961,2,14.7129999999961,1,8.375,1,0,0,48.3840000000055,4,16.9429999999993,3,0,0,2.68500000000495,3,0,0,0,0,31.4410000000062,1,2,23.0879999999961,4,48.3840000000055,0,0,1,8.375,1,14.7129999999961,1,8.375,1,31.4410000000062,0,0,2,14.7580000000016,1,8.375,0,0,89.0169999999998,19,4,10,1,4,10,1,58,1642.87338573826,161.508000000002,8,4,41.851999999999,1,"3",44.3089608584031,44.1199479491144,31.6563523651733
"G108_1","000724D959",5.55199999999604,4,0,0,0,0,0,0,55.4709999999977,2,0,0,124.082000000002,2,0,0,3.55500000000029,2,0,0,0,0,5.63000000000466,1,0,0,0,0,0,0,5,126.016999999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295.369000000006,63,11,0,0,0,0,27,38,1043.5561394252,373.678999999996,10,9,44.2869999999966,3,NA,NA,NA,NA
"G108_1","000724F85F",7.14000000001397,3,0,0,0,0,0,0,35.9230000000025,1,0,0,78.3040000000037,6,52.1630000000077,2,0,0,0,0,0,0,27.768999999993,3,0,0,0,0,0,0,2,23.0510000000068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.593000000052,33,7,0,0,0,0,4,78,1452.07030178984,359.290000000088,11,6,44.0069999999978,2,NA,NA,NA,NA
"G108_1","000724FA76",25.9049999999916,10,87.4569999999949,10,0,0,87.4569999999949,10,0,0,35.625,6,26.5350000000035,4,0,0,7.99300000000221,2,0,0,0,0,9.08999999999651,2,10,87.4569999999949,6,35.625,0,0,10,87.4569999999949,1,13.8430000000008,9,73.6139999999941,1,5.67199999999866,1,5.93899999999849,3,28.6010000000024,5,45.176999999996,1,5.05799999999726,173.146999999975,37,18,7,18,18,7,18,120,3168.69731574287,347.806999999986,18,7,83.1039999999994,6,NA,NA,NA,NA
"G108_2","000724BF5E",6.27699999999459,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65700000000652,0,0,0,0,0,0,0,4,82.7326045947271,9.93400000000111,1,0,NA,NA,"1",NA,NA,NA
"G108_2","000724D959",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09999999999854,0,0,0,0,0,0,0,2,92.5,2.09999999999854,0,0,NA,NA,"2",NA,NA,NA
"G109_1","000724BF5E",18.8450000000012,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.951999999997497,2,0,0,1.76299999999901,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.7219999999725,7,0,0,0,0,0,0,54,1880.34034624682,69.2199999999793,8,0,42.8810000000012,4,"1",42.9601268577324,49.4121983918518,24.1104372998755
"G109_1","000724CD88",2.8240000000078,2,0,0,0,0,0,0,0,0,140.811999999998,2,110.853999999999,1,110.853999999999,1,0,0,0,0,0,0,29.9579999999987,1,0,0,2,140.811999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.672999999995,32,0,30,0,0,30,0,18,401.301310223354,165.764000000025,5,1,44.8130000000019,5,"2",42.9601268577324,43.4317990188137,50.7624207612978
